"x" "y"
"1" -9.76 102.96
"2" -9.75 102.97
"3" -9.68 102.93
"4" -9.63 103.33
"5" -8.65 104.73
"6" -8.61 104.69
"7" -8.44 104.82
"8" -8.43 104.78
"9" -8.37 104.7
"10" -8.05 104.96
"11" -7.57 104.81
"12" -7.4 104.68
"13" -7.13 104.67
"14" -6.8 104
"15" -6.74 104.64
"16" -6.39 104.14
"17" -6.3 104.35
"18" -6.12 104.02
"19" -6.11 103.98
"20" -5.87 103.7
"21" -5.43 103.17
"22" -5.35 103.35
"23" -5.32 102.96
"24" -5.31 103.41
"25" -4.96 102.95
"26" -4.65 102.26
"27" -4.43 101.98
"28" -4.32 102.1
"29" -4.01 101.52
"30" -3.85 101.57
"31" -3.84 101.71
"32" -3.71 101.33
"33" -3.61 101.28
"34" -3.39 101
"35" -3.12 100.86
"36" -3.06 100.76
"37" -2.69 99.8
"38" -2.47 100.4
"39" -2.41 100.22
"40" -2.01 99.73
"41" -1.66 99.08
"42" -1.51 98.87
"43" -1.34 99
"44" -1.24 98.84
"45" -1.02 98.6
"46" -0.98 98.77
"47" -0.92 98.47
"48" -0.85 98.03
"49" -0.73 98.77
"50" -0.71 98.58
"51" -0.64 98.51
"52" -0.45 97.79
"53" -0.21 98.05
"54" 0.06 97.97
"55" 0.21 97.5
"56" 0.42 97.83
"57" 1.01 97.67
"58" 1.14 97.83
"59" 1.44 97.45
"60" 1.73 97.12
"61" 2.18 97.21
"62" 2.36 97.15
"63" 2.39 97.37
"64" 2.42 97.2
"65" 2.6 97.54
"66" 3.07 97.53
"67" 3.42 97.02
"68" 3.62 97.39
"69" 4.24 97.13
"70" 4.37 97.26
"71" 4.55 97.53
"72" 4.68 97.67
"73" 5.11 98.22
"74" 5.25 98.03
"75" 5.26 98.23
"76" 5.3 98.05
"77" 5.35 98.69
"78" 5.6 98.3
"79" 5.82 98.58
"80" 6.39 99.49
"81" 6.62 99.99
"82" 6.73 100.07
"83" 7.05 100.55
"84" 7.14 100.83
"85" 7.15 100.88
"86" 7.18 100.97
"87" 7.18 100.81
"88" 7.64 101.54
"89" 8.33 104.12
"90" 8.76 105.97
"91" 8.84 106.03
"92" 8.87 106.31
"93" 8.97 106.81
"94" 9.5 109.36
"95" 9.54 109.5
"96" 9.61 109.98
"97" 9.73 110.29
"98" 9.77 110.6
"99" 9.79 110.91
"100" 9.99 112.29
